Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-01-19 17:41:07,0.20412,32.76590,3.79590,28.97000
2024-01-19 17:41:08,0.21215,32.53883,4.04883,28.49000
2024-01-19 17:41:09,0.14716,32.23183,3.88184,28.35000
2024-01-19 17:41:10,0.18120,31.95375,3.84375,28.11000
2024-01-19 17:41:11,0.18295,33.18625,3.90625,29.28000
2024-01-19 17:41:12,0.18630,31.99176,3.80176,28.19000
2024-01-19 17:41:13,0.17690,32.49594,3.83594,28.66000
2024-01-19 17:41:14,0.19136,31.84566,3.80566,28.04000
2024-01-19 17:41:15,0.19678,32.58539,3.77539,28.81000
2024-01-19 17:41:16,0.17703,33.05734,3.77734,29.28000
2024-01-19 17:41:17,0.18936,32.79934,3.81934,28.98000
2024-01-19 17:41:18,0.19982,32.92055,3.81055,29.11000
2024-01-19 17:41:19,0.17008,32.50375,3.84375,28.66000
2024-01-19 17:41:21,0.17153,32.44590,3.79590,28.65000
2024-01-19 17:41:22,0.17984,32.77808,3.78809,28.99000
2024-01-19 17:41:23,0.18916,32.29613,3.78613,28.51000
2024-01-19 17:41:24,0.19108,32.29492,3.79492,28.50000
2024-01-19 17:41:25,0.17089,32.62273,3.80273,28.82000
2024-01-19 17:41:26,0.17857,31.95563,3.76563,28.19000
2024-01-19 17:41:27,0.16537,32.46199,3.79199,28.67000
2024-01-19 17:41:28,0.20059,31.83566,3.80566,28.03000
2024-01-19 17:41:29,0.20039,32.48594,3.83594,28.65000
2024-01-19 17:41:30,0.20060,33.25031,3.82031,29.43000
2024-01-19 17:41:31,0.18157,32.25090,3.92090,28.33000
2024-01-19 17:41:32,0.20939,32.79633,3.98633,28.81000
2024-01-19 17:41:33,0.18133,32.43945,3.93945,28.50000
2024-01-19 17:41:34,0.17932,32.25000,3.75000,28.50000
2024-01-19 17:41:35,0.19263,32.16617,3.82617,28.34000
2024-01-19 17:41:36,0.24371,32.32446,3.81445,28.51000
2024-01-19 17:41:37,0.18466,32.75726,3.94727,28.81000
2024-01-19 17:41:38,0.18284,32.97938,3.85938,29.12000
2024-01-19 17:41:39,0.19484,32.96864,3.84863,29.12000
2024-01-19 17:41:40,0.18261,32.67305,3.87305,28.80000
2024-01-19 17:41:41,0.18447,32.95789,3.83789,29.12000
2024-01-19 17:41:42,0.24306,32.64886,3.83887,28.81000
2024-01-19 17:41:43,0.20220,32.08379,3.88379,28.20000
2024-01-19 17:41:44,0.20218,32.24211,3.91211,28.33000
2024-01-19 17:41:45,0.17980,32.33887,3.83887,28.50000
2024-01-19 17:41:46,0.20328,32.15227,3.82227,28.33000
2024-01-19 17:41:47,0.19276,32.95738,3.81738,29.14000
2024-01-19 17:41:48,0.16780,32.49277,3.84277,28.65000
2024-01-19 17:41:50,0.21063,32.36133,3.86133,28.50000
2024-01-19 17:41:51,0.20560,32.96156,3.85156,29.11000
2024-01-19 17:41:52,0.20471,32.64301,3.83301,28.81000
2024-01-19 17:41:53,0.19534,32.18496,3.83496,28.35000
2024-01-19 17:41:54,0.18723,32.17519,3.82520,28.35000
2024-01-19 17:41:55,0.18353,32.47715,3.82715,28.65000
2024-01-19 17:41:56,0.18253,33.04039,3.90039,29.14000
2024-01-19 17:41:57,0.22278,32.17203,3.83203,28.34000
2024-01-19 17:41:58,0.21459,33.08934,3.81934,29.27000
2024-01-19 17:41:59,0.22105,33.24289,3.96289,29.28000
2024-01-19 17:42:00,0.20616,33.13328,3.86328,29.27000
2024-01-19 17:42:01,0.18143,32.34106,3.83105,28.51000
2024-01-19 17:42:02,0.17812,32.56016,3.91016,28.65000
2024-01-19 17:42:03,0.17988,33.13816,3.86816,29.27000
2024-01-19 17:42:04,0.17185,32.20133,3.86133,28.34000
2024-01-19 17:42:05,0.18000,32.39453,3.89453,28.50000
2024-01-19 17:42:06,0.17806,32.66281,3.88281,28.78000
2024-01-19 17:42:07,0.16496,32.57188,3.92188,28.65000
2024-01-19 17:42:08,0.16524,32.24430,3.90430,28.34000
2024-01-19 17:42:09,0.16854,32.63168,3.97168,28.66000
2024-01-19 17:42:10,0.17098,32.37183,3.88184,28.49000
2024-01-19 17:42:11,0.17632,32.54527,3.90527,28.64000
2024-01-19 17:42:12,0.19065,32.38355,3.89355,28.49000
2024-01-19 17:42:13,0.18545,33.32184,3.88184,29.44000
2024-01-19 17:42:14,0.18636,32.49403,3.87402,28.62000
2024-01-19 17:42:15,0.17229,32.37891,3.87891,28.50000
2024-01-19 17:42:16,0.17570,32.99598,3.87598,29.12000
2024-01-19 17:42:17,0.18182,31.98141,3.94141,28.04000
2024-01-19 17:42:18,0.20329,32.65277,3.84277,28.81000
2024-01-19 17:42:20,0.19245,33.11594,3.83594,29.28000
2024-01-19 17:42:21,0.18648,32.85891,3.87891,28.98000
2024-01-19 17:42:22,0.18833,33.19285,3.92285,29.27000
2024-01-19 17:42:23,0.19926,32.53574,3.88574,28.65000
2024-01-19 17:42:24,0.20210,32.72430,3.90430,28.82000
2024-01-19 17:42:25,0.20233,32.37231,3.86230,28.51000
2024-01-19 17:42:26,0.18909,32.80301,3.83301,28.97000
2024-01-19 17:42:27,0.16017,32.50840,3.85840,28.65000
2024-01-19 17:42:28,0.17118,32.86211,3.91211,28.95000
2024-01-19 17:42:29,0.20709,32.24602,3.91602,28.33000
2024-01-19 17:42:30,0.19691,32.84207,3.87207,28.97000
2024-01-19 17:42:31,0.16968,32.54234,3.90234,28.64000
2024-01-19 17:42:32,0.17410,32.04254,3.85254,28.19000
2024-01-19 17:42:33,0.18134,32.52621,3.86621,28.66000
2024-01-19 17:42:34,0.19300,32.20328,3.86328,28.34000
2024-01-19 17:42:35,0.18447,33.30035,3.86035,29.44000
