Date,CPU Utilization,CPU Power
2024-01-19 17:43:15,0.02130,0.56181
2024-01-19 17:43:16,0.02052,0.44235
2024-01-19 17:43:17,0.04614,1.37857
2024-01-19 17:43:18,0.06139,1.74658
2024-01-19 17:43:19,0.00557,0.23249
2024-01-19 17:43:20,0.02451,0.98776
2024-01-19 17:43:21,0.03223,1.36440
2024-01-19 17:43:22,0.00911,0.50510
2024-01-19 17:43:23,0.02778,1.28005
2024-01-19 17:43:24,0.11123,2.77572
2024-01-19 17:43:25,0.03585,1.49735
2024-01-19 17:43:26,0.03659,1.23870
2024-01-19 17:43:27,0.03148,1.14252
2024-01-19 17:43:28,0.03067,1.05602
2024-01-19 17:43:29,0.11821,3.16722
2024-01-19 17:43:31,0.08429,2.28040
2024-01-19 17:43:32,0.08802,2.39594
2024-01-19 17:43:33,0.06250,1.88598
2024-01-19 17:43:34,0.05592,1.61346
2024-01-19 17:43:35,0.06148,1.56378
2024-01-19 17:43:36,0.06359,1.55660
2024-01-19 17:43:37,0.05644,1.58789
2024-01-19 17:43:38,0.05571,1.52593
2024-01-19 17:43:39,0.05779,1.59310
2024-01-19 17:43:40,0.05331,1.59871
2024-01-19 17:43:41,0.09386,2.42219
2024-01-19 17:43:42,0.13523,4.27489
2024-01-19 17:43:43,0.05430,1.63069
2024-01-19 17:43:44,0.06766,1.79226
2024-01-19 17:43:45,0.05357,1.58075
2024-01-19 17:43:46,0.07109,1.98125
2024-01-19 17:43:47,0.07121,1.85687
2024-01-19 17:43:48,0.07136,1.73642
2024-01-19 17:43:49,0.07196,1.71452
2024-01-19 17:43:50,0.06393,1.68686
2024-01-19 17:43:51,0.06878,1.58227
2024-01-19 17:43:52,0.06068,1.54885
2024-01-19 17:43:53,0.08192,1.57487
2024-01-19 17:43:54,0.08069,1.44653
2024-01-19 17:43:55,0.07853,1.53150
2024-01-19 17:43:56,0.09681,1.39959
2024-01-19 17:43:58,0.07372,1.48554
2024-01-19 17:43:59,0.07290,1.47565
2024-01-19 17:44:00,0.06713,1.49899
2024-01-19 17:44:01,0.07124,1.49364
2024-01-19 17:44:02,0.07313,1.37857
2024-01-19 17:44:03,0.07115,1.42264
2024-01-19 17:44:04,0.06740,1.35894
2024-01-19 17:44:05,0.07240,1.42587
2024-01-19 17:44:06,0.06239,1.44536
2024-01-19 17:44:07,0.07131,1.45168
2024-01-19 17:44:08,0.08644,1.79663
2024-01-19 17:44:09,0.08812,1.59423
2024-01-19 17:44:10,0.08453,1.52137
2024-01-19 17:44:11,0.08942,1.61107
2024-01-19 17:44:12,0.08230,1.74763
2024-01-19 17:44:13,0.07180,1.71559
2024-01-19 17:44:14,0.08178,1.77676
2024-01-19 17:44:15,0.11472,1.66601
2024-01-19 17:44:16,0.09457,1.70890
2024-01-19 17:44:17,0.11076,1.71907
2024-01-19 17:44:18,0.09467,1.79072
2024-01-19 17:44:19,0.09403,1.79043
2024-01-19 17:44:21,0.08927,1.64897
2024-01-19 17:44:22,0.08455,1.74226
2024-01-19 17:44:23,0.07420,1.63170
2024-01-19 17:44:24,0.09212,1.82635
2024-01-19 17:44:25,0.10425,1.85943
2024-01-19 17:44:26,0.08966,1.68463
2024-01-19 17:44:27,0.07686,1.57393
2024-01-19 17:44:28,0.08564,1.65326
2024-01-19 17:44:29,0.07513,1.79983
2024-01-19 17:44:30,0.08394,1.72622
2024-01-19 17:44:31,0.10141,1.70906
2024-01-19 17:44:32,0.08667,1.68763
2024-01-19 17:44:33,0.08691,1.91258
2024-01-19 17:44:34,0.08264,1.77290
2024-01-19 17:44:35,0.08584,1.85775
2024-01-19 17:44:36,0.09615,1.75781
2024-01-19 17:44:37,0.08311,1.57715
2024-01-19 17:44:38,0.08534,1.85106
2024-01-19 17:44:39,0.09369,1.74413
2024-01-19 17:44:40,0.07958,1.70119
2024-01-19 17:44:41,0.08174,1.75424
2024-01-19 17:44:42,0.08213,1.69495
2024-01-19 17:44:43,0.09375,1.65518
2024-01-19 17:44:44,0.11233,1.79433
2024-01-19 17:44:45,0.08988,1.84359
2024-01-19 17:44:46,0.09895,1.75262
2024-01-19 17:44:47,0.08198,1.61564
2024-01-19 17:44:49,0.08918,1.67265
2024-01-19 17:44:50,0.08317,1.47290
2024-01-19 17:44:51,0.08513,1.66741
2024-01-19 17:44:52,0.09951,1.71977
2024-01-19 17:44:53,0.07972,1.66360
2024-01-19 17:44:54,0.08980,1.77321
2024-01-19 17:44:55,0.09759,1.84947
2024-01-19 17:44:56,0.10056,1.80707
2024-01-19 17:44:57,0.08883,1.67278
2024-01-19 17:44:58,0.09149,1.67590
2024-01-19 17:44:59,0.07506,1.67076
