Date,CPU Utilization,CPU Power
2024-01-13 21:29:50,0.01920,0.47139
2024-01-13 21:29:51,0.01976,0.40711
2024-01-13 21:29:52,0.02014,0.44689
2024-01-13 21:29:53,0.08861,2.00113
2024-01-13 21:29:54,0.01957,0.54569
2024-01-13 21:29:55,0.02459,0.60323
2024-01-13 21:29:57,0.01314,0.47154
2024-01-13 21:29:58,0.00862,0.24858
2024-01-13 21:29:59,0.04986,1.31540
2024-01-13 21:30:00,0.06935,1.74179
2024-01-13 21:30:01,0.07620,2.07632
2024-01-13 21:30:02,0.05817,1.93565
2024-01-13 21:30:03,0.06765,1.99062
2024-01-13 21:30:04,0.06644,1.90898
2024-01-13 21:30:05,0.04932,1.31431
2024-01-13 21:30:07,0.05703,1.80184
2024-01-13 21:30:08,0.07240,2.42882
2024-01-13 21:30:09,0.06654,2.00326
2024-01-13 21:30:10,0.09770,3.07617
2024-01-13 21:30:11,0.06848,1.63214
2024-01-13 21:30:12,0.10310,3.14580
2024-01-13 21:30:13,0.07560,2.08266
2024-01-13 21:30:14,0.07642,2.10147
2024-01-13 21:30:15,0.08412,1.96546
2024-01-13 21:30:16,0.09980,2.81140
2024-01-13 21:30:17,0.07333,2.24255
2024-01-13 21:30:18,0.06784,2.21078
2024-01-13 21:30:19,0.06398,2.18798
2024-01-13 21:30:20,0.06132,2.27432
2024-01-13 21:30:21,0.09640,2.95222
2024-01-13 21:30:22,0.07772,2.39343
2024-01-13 21:30:23,0.07114,2.00019
2024-01-13 21:30:24,0.05576,2.10787
2024-01-13 21:30:25,0.05126,1.92517
2024-01-13 21:30:26,0.04713,2.02613
2024-01-13 21:30:27,0.05209,2.19543
2024-01-13 21:30:28,0.05850,1.95310
2024-01-13 21:30:29,0.01223,0.51060
