Date,CPU Utilization,CPU Power
2024-01-13 21:52:16,0.05514,1.64523
2024-01-13 21:52:17,0.00698,0.23024
2024-01-13 21:52:18,0.01763,0.72819
2024-01-13 21:52:19,0.01767,0.71450
2024-01-13 21:52:20,0.01927,0.79997
2024-01-13 21:52:21,0.06944,2.92111
2024-01-13 21:52:22,0.00931,0.42318
2024-01-13 21:52:23,0.02692,0.84364
2024-01-13 21:52:24,0.00107,0.03906
2024-01-13 21:52:25,0.03194,0.77950
2024-01-13 21:52:26,0.02832,0.69769
2024-01-13 21:52:28,0.12158,1.95117
2024-01-13 21:52:29,0.11493,2.77626
2024-01-13 21:52:30,0.05474,1.98929
2024-01-13 21:52:31,0.08333,2.77389
2024-01-13 21:52:32,0.06424,1.84071
2024-01-13 21:52:33,0.06227,1.71802
2024-01-13 21:52:34,0.09360,2.32102
2024-01-13 21:52:35,0.06209,1.76151
2024-01-13 21:52:36,0.05871,1.62270
2024-01-13 21:52:37,0.07511,1.68620
2024-01-13 21:52:38,0.07963,2.13538
2024-01-13 21:52:39,0.05669,1.74870
2024-01-13 21:52:40,0.10914,3.08936
2024-01-13 21:52:41,0.00961,0.27620
2024-01-13 21:52:42,0.04887,1.59795
2024-01-13 21:52:43,0.01379,0.58574
2024-01-13 21:52:44,0.00282,0.14237
2024-01-13 21:52:45,0.00188,0.08826
2024-01-13 21:52:46,0.04628,1.50183
2024-01-13 21:52:48,0.03396,1.28495
2024-01-13 21:52:49,0.00200,0.10042
2024-01-13 21:52:50,0.00189,0.09550
2024-01-13 21:52:51,0.00282,0.14857
2024-01-13 21:52:52,0.00288,0.14174
2024-01-13 21:52:53,0.00469,0.18379
2024-01-13 21:52:54,0.00466,0.23035
2024-01-13 21:52:55,0.01324,0.57701
2024-01-13 21:52:56,0.00195,0.08891
2024-01-13 21:52:57,0.00186,0.09012
