Date,CPU Utilization,CPU Power
2024-01-14 14:54:51,0.01091,1.64957
2024-01-14 14:54:52,0.02388,1.65395
2024-01-14 14:54:53,0.00477,0.26821
2024-01-14 14:54:54,0.01261,1.04818
2024-01-14 14:54:55,0.07101,3.24830
2024-01-14 14:54:56,0.01550,1.99547
2024-01-14 14:54:57,0.00105,0.43527
2024-01-14 14:54:58,0.00110,0.42148
2024-01-14 14:54:59,0.00223,0.85117
2024-01-14 14:55:00,0.03401,1.09630
2024-01-14 14:55:01,0.03429,0.87205
2024-01-14 14:55:03,0.02600,1.09506
2024-01-14 14:55:04,0.09786,3.47982
2024-01-14 14:55:05,0.08630,3.29711
2024-01-14 14:55:06,0.09774,3.03730
2024-01-14 14:55:07,0.03960,1.97825
2024-01-14 14:55:08,0.06176,1.92885
2024-01-14 14:55:09,0.04762,1.80363
2024-01-14 14:55:10,0.06136,2.10420
2024-01-14 14:55:11,0.07352,2.37383
2024-01-14 14:55:12,0.05741,2.13053
2024-01-14 14:55:13,0.06904,2.42916
2024-01-14 14:55:14,0.06332,2.53354
2024-01-14 14:55:15,0.07883,2.64956
2024-01-14 14:55:16,0.10102,4.07517
2024-01-14 14:55:17,0.06361,2.57669
2024-01-14 14:55:18,0.06069,2.24555
2024-01-14 14:55:19,0.06357,2.24466
2024-01-14 14:55:20,0.06181,1.58980
2024-01-14 14:55:21,0.07212,1.69002
2024-01-14 14:55:22,0.08712,2.57629
2024-01-14 14:55:23,0.07883,2.60230
2024-01-14 14:55:24,0.07665,2.52522
2024-01-14 14:55:25,0.07268,2.44199
2024-01-14 14:55:27,0.08276,2.33817
2024-01-14 14:55:28,0.08507,2.45577
2024-01-14 14:55:29,0.07966,2.52487
2024-01-14 14:55:30,0.07632,2.54434
2024-01-14 14:55:31,0.08219,2.38337
2024-01-14 14:55:32,0.09677,2.59130
2024-01-14 14:55:33,0.06643,2.38002
2024-01-14 14:55:34,0.07926,2.36420
2024-01-14 14:55:35,0.08523,2.62328
2024-01-14 14:55:36,0.08614,2.35711
2024-01-14 14:55:37,0.08522,2.60314
2024-01-14 14:55:38,0.07217,2.57181
2024-01-14 14:55:39,0.07923,2.44826
2024-01-14 14:55:40,0.07411,2.36568
2024-01-14 14:55:41,0.08591,2.26112
