Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-01-14 15:08:21,0.18557,42.08187,4.42188,37.66000
2024-01-14 15:08:22,0.20085,42.68172,4.26172,38.42000
2024-01-14 15:08:23,0.20567,43.28516,5.03516,38.25000
2024-01-14 15:08:24,0.19435,42.39160,4.14160,38.25000
2024-01-14 15:08:25,0.14414,42.40125,4.28125,38.12000
2024-01-14 15:08:26,0.13763,41.80430,4.15430,37.65000
2024-01-14 15:08:27,0.14103,42.76067,4.18066,38.58000
2024-01-14 15:08:28,0.13099,42.41551,4.14551,38.27000
2024-01-14 15:08:29,0.12614,42.13289,4.21289,37.92000
2024-01-14 15:08:30,0.14796,41.88731,4.23730,37.65000
2024-01-14 15:08:31,0.14483,42.62359,4.18359,38.44000
2024-01-14 15:08:32,0.13425,41.83555,4.18555,37.65000
2024-01-14 15:08:33,0.12844,42.43895,4.16895,38.27000
2024-01-14 15:08:34,0.13394,41.69363,4.22363,37.47000
2024-01-14 15:08:36,0.13024,41.83164,4.18164,37.65000
2024-01-14 15:08:37,0.14167,41.66113,4.16113,37.50000
2024-01-14 15:08:38,0.13247,42.72356,4.14355,38.58000
2024-01-14 15:08:39,0.12864,42.09285,4.17285,37.92000
2024-01-14 15:08:40,0.12371,41.98238,4.19238,37.79000
2024-01-14 15:08:41,0.13295,42.33023,4.24023,38.09000
2024-01-14 15:08:42,0.15071,43.22555,4.18555,39.04000
2024-01-14 15:08:43,0.13714,41.94894,4.16895,37.78000
2024-01-14 15:08:44,0.14182,42.43531,4.19531,38.24000
2024-01-14 15:08:45,0.15850,42.52379,4.38379,38.14000
2024-01-14 15:08:46,0.13553,42.01949,4.22949,37.79000
2024-01-14 15:08:47,0.14089,42.95559,4.22559,38.73000
2024-01-14 15:08:48,0.13281,42.12188,4.17188,37.95000
2024-01-14 15:08:49,0.15591,42.15410,4.20410,37.95000
2024-01-14 15:08:50,0.14674,41.69414,4.24414,37.45000
2024-01-14 15:08:51,0.14286,42.01293,4.25293,37.76000
2024-01-14 15:08:52,0.15239,39.27953,4.01953,35.26000
2024-01-14 15:08:53,0.13884,38.16633,3.98633,34.18000
2024-01-14 15:08:54,0.14680,32.41453,3.89453,28.52000
2024-01-14 15:08:55,0.15922,31.80633,3.48633,28.32000
2024-01-14 15:08:56,0.14751,31.39832,3.52832,27.87000
2024-01-14 15:08:57,0.14660,21.04898,2.95898,18.09000
