Date,CPU Utilization,CPU Power
2024-01-13 23:05:46,0.03775,0.89688
2024-01-13 23:05:47,0.02304,0.64469
2024-01-13 23:05:48,0.03581,0.75264
2024-01-13 23:05:49,0.00084,0.04122
2024-01-13 23:05:50,0.00285,0.12437
2024-01-13 23:05:51,0.00090,0.04576
2024-01-13 23:05:52,0.00085,0.04828
2024-01-13 23:05:53,0.00169,0.07803
2024-01-13 23:05:54,0.00169,0.07767
2024-01-13 23:05:55,0.00425,0.11702
2024-01-13 23:05:56,0.00000,0.00000
2024-01-13 23:05:57,0.00183,0.05477
2024-01-13 23:05:58,0.00092,0.05033
2024-01-13 23:05:59,0.00092,0.04436
2024-01-13 23:06:00,0.00171,0.06231
2024-01-13 23:06:01,0.00194,0.08864
2024-01-13 23:06:03,0.00266,0.10758
2024-01-13 23:06:04,0.00280,0.13229
2024-01-13 23:06:05,0.00254,0.11057
