Date,CPU Utilization,CPU Power
2024-01-13 23:39:46,0.04861,1.53125
2024-01-13 23:39:47,0.03436,0.99905
2024-01-13 23:39:48,0.01701,0.63971
2024-01-13 23:39:49,0.00265,0.14258
2024-01-13 23:39:50,0.00090,0.05580
2024-01-13 23:39:51,0.00169,0.12578
2024-01-13 23:39:52,0.00084,0.05774
2024-01-13 23:39:53,0.00084,0.05765
2024-01-13 23:39:54,0.00170,0.12346
2024-01-13 23:39:55,0.00460,0.24405
2024-01-13 23:39:56,0.00091,0.05732
2024-01-13 23:39:57,0.00091,0.05435
2024-01-13 23:39:58,0.00000,0.00000
2024-01-13 23:39:59,0.00000,0.00000
2024-01-13 23:40:00,0.01604,0.81148
2024-01-13 23:40:01,0.00000,0.00000
2024-01-13 23:40:02,0.00181,0.07767
2024-01-13 23:40:03,0.00000,0.00000
2024-01-13 23:40:04,0.00091,0.04494
2024-01-13 23:40:05,0.00338,0.14268
2024-01-13 23:40:06,0.00086,0.03737
2024-01-13 23:40:07,0.00000,0.00000
2024-01-13 23:40:08,0.00170,0.07859
2024-01-13 23:40:09,0.00000,0.00000
2024-01-13 23:40:11,0.00424,0.15952
2024-01-13 23:40:12,0.01015,0.36796
2024-01-13 23:40:13,0.00000,0.00000
2024-01-13 23:40:14,0.00168,0.11080
2024-01-13 23:40:15,0.00084,0.04765
2024-01-13 23:40:16,0.02422,0.87651
2024-01-13 23:40:17,0.05221,2.16509
2024-01-13 23:40:18,0.02189,0.97582
2024-01-13 23:40:19,0.00169,0.11355
2024-01-13 23:40:20,0.00084,0.05897
2024-01-13 23:40:21,0.00169,0.11700
2024-01-13 23:40:22,0.00084,0.05358
2024-01-13 23:40:23,0.00168,0.10352
2024-01-13 23:40:24,0.00424,0.20931
2024-01-13 23:40:25,0.00084,0.04506
