Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-01-14 13:22:17,0.19189,33.96117,4.20117,29.76000
2024-01-14 13:22:18,0.20647,34.69563,4.76563,29.93000
2024-01-14 13:22:19,0.18435,34.69094,4.46094,30.23000
2024-01-14 13:22:20,0.17561,33.55570,4.09570,29.46000
2024-01-14 13:22:21,0.19149,34.13274,4.05273,30.08000
2024-01-14 13:22:22,0.25267,33.86789,4.08789,29.78000
2024-01-14 13:22:23,0.25759,34.30469,4.05469,30.25000
2024-01-14 13:22:24,0.25810,33.97179,4.09180,29.88000
2024-01-14 13:22:25,0.22944,33.59633,3.98633,29.61000
2024-01-14 13:22:26,0.22634,34.02821,4.15820,29.87000
2024-01-14 13:22:28,0.25826,33.80711,4.03711,29.77000
2024-01-14 13:22:29,0.20783,33.61781,4.00781,29.61000
2024-01-14 13:22:30,0.18852,34.03523,4.11523,29.92000
2024-01-14 13:22:31,0.20165,33.70399,4.08398,29.62000
2024-01-14 13:22:32,0.21039,34.67328,4.11328,30.56000
2024-01-14 13:22:33,0.19913,34.26196,4.00195,30.26000
2024-01-14 13:22:34,0.22980,33.87328,4.11328,29.76000
2024-01-14 13:22:35,0.29805,34.15250,4.06250,30.09000
2024-01-14 13:22:36,0.19982,34.03891,4.12891,29.91000
2024-01-14 13:22:37,0.20909,48.60641,4.06641,44.54000
2024-01-14 13:22:38,0.20473,50.07836,5.06836,45.01000
2024-01-14 13:22:39,0.24722,49.42735,5.02734,44.40000
2024-01-14 13:22:40,0.23907,49.47570,5.09570,44.38000
2024-01-14 13:22:41,0.23722,50.01578,5.17578,44.84000
2024-01-14 13:22:42,0.28265,49.79961,5.09961,44.70000
2024-01-14 13:22:43,0.21306,49.91047,5.23047,44.68000
2024-01-14 13:22:44,0.22037,48.94469,5.05469,43.89000
2024-01-14 13:22:45,0.22307,50.29867,5.13867,45.16000
2024-01-14 13:22:46,0.25118,49.64399,5.08398,44.56000
2024-01-14 13:22:47,0.22818,48.81031,5.07031,43.74000
2024-01-14 13:22:48,0.20938,49.91078,5.05078,44.86000
2024-01-14 13:22:49,0.22905,48.89648,5.14648,43.75000
2024-01-14 13:22:50,0.24952,49.48148,5.27148,44.21000
2024-01-14 13:22:51,0.21918,50.53445,5.06445,45.47000
2024-01-14 13:22:52,0.20578,49.33226,5.07227,44.26000
2024-01-14 13:22:53,0.26197,48.64859,5.05859,43.59000
2024-01-14 13:22:54,0.25306,50.94477,5.13477,45.81000
2024-01-14 13:22:55,0.28634,48.63664,5.05664,43.58000
2024-01-14 13:22:56,0.22159,49.75227,5.07227,44.68000
2024-01-14 13:22:57,0.21935,50.35211,5.16211,45.19000
2024-01-14 13:22:58,0.19633,49.22234,5.15234,44.07000
2024-01-14 13:23:00,0.22040,50.21148,5.02148,45.19000
2024-01-14 13:23:01,0.22712,50.01820,5.15820,44.86000
2024-01-14 13:23:02,0.23529,49.57687,5.04688,44.53000
2024-01-14 13:23:03,0.27554,49.67414,4.99414,44.68000
