Date,CPU Utilization,CPU Power
2024-01-13 20:16:19,0.00426,0.14154
2024-01-13 20:16:20,0.01131,0.31150
2024-01-13 20:16:21,0.00591,0.21242
2024-01-13 20:16:22,0.00084,0.02930
2024-01-13 20:16:23,0.00255,0.07953
2024-01-13 20:16:24,0.00171,0.05035
2024-01-13 20:16:25,0.00177,0.06346
2024-01-13 20:16:26,0.00169,0.07366
2024-01-13 20:16:27,0.00085,0.03633
2024-01-13 20:16:28,0.00731,0.25850
2024-01-13 20:16:29,0.00093,0.03338
2024-01-13 20:16:30,0.00092,0.03143
2024-01-13 20:16:31,0.00180,0.06947
2024-01-13 20:16:32,0.00085,0.03542
2024-01-13 20:16:33,0.03196,1.18319
2024-01-13 20:16:34,0.10474,4.07645
2024-01-13 20:16:35,0.08511,3.79066
2024-01-13 20:16:36,0.08662,3.55768
2024-01-13 20:16:37,0.05856,2.15591
2024-01-13 20:16:38,0.00812,0.24049
2024-01-13 20:16:40,0.00084,0.03140
2024-01-13 20:16:41,0.00182,0.04937
2024-01-13 20:16:42,0.00085,0.02533
2024-01-13 20:16:43,0.00197,0.05575
2024-01-13 20:16:44,0.04156,1.34173
2024-01-13 20:16:45,0.03388,1.05181
2024-01-13 20:16:46,0.00183,0.04775
2024-01-13 20:16:47,0.00182,0.05051
2024-01-13 20:16:48,0.00256,0.07634
2024-01-13 20:16:49,0.01322,0.31879
2024-01-13 20:16:50,0.05838,1.75117
2024-01-13 20:16:51,0.02362,0.59125
2024-01-13 20:16:52,0.02855,0.65771
2024-01-13 20:16:53,0.01857,0.46377
2024-01-13 20:16:54,0.00181,0.05411
2024-01-13 20:16:55,0.00253,0.07844
2024-01-13 20:16:56,0.00180,0.05282
