Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-01-14 19:48:25,0.23540,50.78750,5.18750,45.60000
2024-01-14 19:48:26,0.19899,50.07484,5.21484,44.86000
2024-01-14 19:48:27,0.22632,49.91766,5.09766,44.82000
2024-01-14 19:48:28,0.37595,43.13515,4.53516,38.60000
2024-01-14 19:48:29,0.32910,43.37094,4.46094,38.91000
2024-01-14 19:48:30,0.30486,42.75047,4.48047,38.27000
2024-01-14 19:48:31,0.22260,42.40828,4.48828,37.92000
2024-01-14 19:48:32,0.24730,42.17360,4.68359,37.49000
2024-01-14 19:48:33,0.20034,41.12203,4.58203,36.54000
2024-01-14 19:48:34,0.19523,40.35953,4.26953,36.09000
2024-01-14 19:48:35,0.20380,34.54688,4.29688,30.25000
2024-01-14 19:48:36,0.28328,34.33562,3.76563,30.57000
2024-01-14 19:48:37,0.25181,33.55578,3.92578,29.63000
2024-01-14 19:48:38,0.26752,33.70860,3.80859,29.90000
2024-01-14 19:48:39,0.34608,34.25156,3.85156,30.40000
2024-01-14 19:48:40,0.23969,33.43031,3.82031,29.61000
2024-01-14 19:48:41,0.25543,33.29594,3.83594,29.46000
2024-01-14 19:48:42,0.20544,33.68219,3.74219,29.94000
2024-01-14 19:48:43,0.21313,34.41109,4.12109,30.29000
2024-01-14 19:48:44,0.30325,34.22890,4.12891,30.10000
2024-01-14 19:48:45,0.36801,34.09047,3.98047,30.11000
2024-01-14 19:48:46,0.25903,33.38563,3.76563,29.62000
2024-01-14 19:48:48,0.23468,33.05437,3.73438,29.32000
2024-01-14 19:48:49,0.17547,33.83031,3.57031,30.26000
2024-01-14 19:48:50,0.25437,33.82672,3.88672,29.94000
2024-01-14 19:48:51,0.29779,33.96547,3.85547,30.11000
2024-01-14 19:48:52,0.41495,33.76641,3.81641,29.95000
2024-01-14 19:48:53,0.31705,33.59078,3.80078,29.79000
2024-01-14 19:48:54,0.27249,33.86953,3.76953,30.10000
2024-01-14 19:48:55,0.34747,34.10984,3.83984,30.27000
2024-01-14 19:48:56,0.28351,34.07641,3.81641,30.26000
2024-01-14 19:48:57,0.21768,32.67406,3.66406,29.01000
2024-01-14 19:48:58,0.28596,34.00625,3.90625,30.10000
2024-01-14 19:48:59,0.36223,33.93984,3.83984,30.10000
2024-01-14 19:49:00,0.30822,33.68828,3.73828,29.95000
2024-01-14 19:49:01,0.33213,33.54172,3.76172,29.78000
2024-01-14 19:49:02,0.28250,34.08360,3.68359,30.40000
2024-01-14 19:49:03,0.19659,34.80625,4.40625,30.40000
2024-01-14 19:49:04,0.27739,32.75610,3.74609,29.01000
2024-01-14 19:49:05,0.26577,34.13125,4.03125,30.10000
2024-01-14 19:49:06,0.33885,34.05125,3.78125,30.27000
2024-01-14 19:49:08,0.35108,33.90078,3.80078,30.10000
2024-01-14 19:49:09,0.37391,33.00203,3.83203,29.17000
2024-01-14 19:49:10,0.21368,33.13844,3.64844,29.49000
2024-01-14 19:49:11,0.25919,33.42078,3.80078,29.62000
2024-01-14 19:49:12,0.29597,33.86000,3.75000,30.11000
2024-01-14 19:49:13,0.32905,34.36125,3.78125,30.58000
2024-01-14 19:49:14,0.30642,33.86391,3.75391,30.11000
2024-01-14 19:49:15,0.38219,33.79375,3.84375,29.95000
2024-01-14 19:49:16,0.29283,33.53781,3.75781,29.78000
2024-01-14 19:49:17,0.28108,33.36437,3.73438,29.63000
2024-01-14 19:49:18,0.17672,34.24766,3.84766,30.40000
2024-01-14 19:49:19,0.24540,33.61312,3.70313,29.91000
2024-01-14 19:49:20,0.20877,34.33922,3.94922,30.39000
2024-01-14 19:49:21,0.22270,32.62719,3.61719,29.01000
2024-01-14 19:49:22,0.23585,32.86922,3.69922,29.17000
2024-01-14 19:49:23,0.19847,33.24672,3.63672,29.61000
2024-01-14 19:49:24,0.28157,33.18922,3.69922,29.49000
2024-01-14 19:49:25,0.29899,33.33312,3.70313,29.63000
2024-01-14 19:49:26,0.25460,33.07109,3.62109,29.45000
2024-01-14 19:49:27,0.30253,33.78203,3.83203,29.95000
2024-01-14 19:49:28,0.31275,33.38172,3.76172,29.62000
2024-01-14 19:49:30,0.22474,33.56906,3.78906,29.78000
2024-01-14 19:49:31,0.17827,32.55484,3.71484,28.84000
2024-01-14 19:49:32,0.21368,33.50828,3.73828,29.77000
2024-01-14 19:49:33,0.23578,33.69016,3.91016,29.78000
2024-01-14 19:49:34,0.26849,33.64313,3.70313,29.94000
2024-01-14 19:49:35,0.18439,33.07484,3.46484,29.61000
2024-01-14 19:49:36,0.24527,33.93813,3.82813,30.11000
2024-01-14 19:49:37,0.28840,34.31047,3.73047,30.58000
2024-01-14 19:49:38,0.22619,33.94141,3.69141,30.25000
2024-01-14 19:49:39,0.25595,33.31141,3.69141,29.62000
2024-01-14 19:49:40,0.16919,32.79437,3.48438,29.31000
2024-01-14 19:49:41,0.24107,33.81656,3.72656,30.09000
2024-01-14 19:49:42,0.19585,33.54578,3.92578,29.62000
2024-01-14 19:49:43,0.22774,33.52609,3.74609,29.78000
2024-01-14 19:49:44,0.33094,33.61031,3.82031,29.79000
2024-01-14 19:49:45,0.23554,33.07156,3.60156,29.47000
2024-01-14 19:49:46,0.22109,32.76937,3.60938,29.16000
2024-01-14 19:49:47,0.20798,33.37750,3.93750,29.44000
2024-01-14 19:49:48,0.27654,33.69625,3.90625,29.79000
2024-01-14 19:49:49,0.36815,34.06297,3.79297,30.27000
2024-01-14 19:49:50,0.38291,33.60641,3.81641,29.79000
2024-01-14 19:49:51,0.28220,32.68969,3.67969,29.01000
2024-01-14 19:49:52,0.17766,33.35031,3.57031,29.78000
2024-01-14 19:49:54,0.17772,34.16016,3.91016,30.25000
2024-01-14 19:49:55,0.23129,33.86344,3.77344,30.09000
2024-01-14 19:49:56,0.21651,33.38969,3.92969,29.46000
2024-01-14 19:49:57,0.19558,33.69406,3.91406,29.78000
2024-01-14 19:49:58,0.18855,33.69797,3.91797,29.78000
2024-01-14 19:49:59,0.18452,32.59594,3.58594,29.01000
2024-01-14 19:50:00,0.17406,33.41656,3.47656,29.94000
2024-01-14 19:50:01,0.20563,33.14812,3.82813,29.32000
2024-01-14 19:50:02,0.23646,33.39141,3.94141,29.45000
2024-01-14 19:50:03,0.21157,33.92031,3.82031,30.10000
2024-01-14 19:50:04,0.24446,33.51844,3.89844,29.62000
2024-01-14 19:50:05,0.37861,33.38172,3.76172,29.62000
2024-01-14 19:50:06,0.18947,32.80047,3.48047,29.32000
2024-01-14 19:50:07,0.18197,33.04594,3.58594,29.46000
2024-01-14 19:50:08,0.19341,33.14031,3.82031,29.32000
2024-01-14 19:50:09,0.20320,34.31953,3.76953,30.55000
2024-01-14 19:50:10,0.19781,33.55531,3.94531,29.61000
2024-01-14 19:50:11,0.16387,33.56469,3.80469,29.76000
2024-01-14 19:50:12,0.21574,34.09375,3.84375,30.25000
2024-01-14 19:50:13,0.15816,32.75203,3.58203,29.17000
2024-01-14 19:50:14,0.20000,33.59813,3.82813,29.77000
2024-01-14 19:50:15,0.18771,34.25547,3.85547,30.40000
2024-01-14 19:50:16,0.19138,33.17375,3.84375,29.33000
2024-01-14 19:50:17,0.21909,34.09891,3.87891,30.22000
2024-01-14 19:50:18,0.16147,32.47281,3.63281,28.84000
2024-01-14 19:50:19,0.22545,33.30875,3.71875,29.59000
2024-01-14 19:50:20,0.17114,33.73094,3.96094,29.77000
2024-01-14 19:50:21,0.18824,32.71703,3.70703,29.01000
2024-01-14 19:50:22,0.15439,33.51797,3.41797,30.10000
2024-01-14 19:50:24,0.19784,33.57078,3.80078,29.77000
2024-01-14 19:50:25,0.20341,33.44437,3.98438,29.46000
2024-01-14 19:50:26,0.21774,33.34625,3.90625,29.44000
