Date,CPU Utilization,CPU Power
2024-01-14 19:58:56,0.00084,0.05026
2024-01-14 19:58:57,0.00092,0.04622
2024-01-14 19:58:58,0.00172,0.07547
2024-01-14 19:58:59,0.00182,0.08215
2024-01-14 19:59:00,0.00092,0.04007
2024-01-14 19:59:01,0.00095,0.03865
2024-01-14 19:59:02,0.00086,0.04087
2024-01-14 19:59:03,0.00171,0.05554
2024-01-14 19:59:04,0.00183,0.06346
2024-01-14 19:59:05,0.00366,0.09900
2024-01-14 19:59:06,0.00000,0.00000
2024-01-14 19:59:07,0.00172,0.08493
2024-01-14 19:59:08,0.00000,0.00000
2024-01-14 19:59:09,0.00085,0.04535
2024-01-14 19:59:11,0.00254,0.10423
2024-01-14 19:59:12,0.01178,0.38593
2024-01-14 19:59:13,0.01109,0.34604
2024-01-14 19:59:14,0.01111,0.37867
2024-01-14 19:59:15,0.01019,0.38141
2024-01-14 19:59:16,0.01727,0.46377
2024-01-14 19:59:17,0.01004,0.33736
2024-01-14 19:59:18,0.00000,0.00000
2024-01-14 19:59:19,0.00086,0.03433
2024-01-14 19:59:20,0.00215,0.07062
2024-01-14 19:59:21,0.01142,0.31698
2024-01-14 19:59:22,0.02703,0.67274
2024-01-14 19:59:23,0.03775,1.06044
2024-01-14 19:59:24,0.04279,1.12919
2024-01-14 19:59:25,0.02104,0.56881
2024-01-14 19:59:26,0.01096,0.30161
2024-01-14 19:59:27,0.02966,0.75017
2024-01-14 19:59:28,0.02778,0.86387
2024-01-14 19:59:29,0.02475,0.62435
2024-01-14 19:59:30,0.02810,0.76279
2024-01-14 19:59:31,0.03541,0.94257
2024-01-14 19:59:32,0.02155,0.51389
2024-01-14 19:59:33,0.03168,0.73036
2024-01-14 19:59:34,0.03983,0.85151
2024-01-14 19:59:35,0.01780,0.47413
2024-01-14 19:59:36,0.03445,0.78880
2024-01-14 19:59:37,0.03553,1.02378
2024-01-14 19:59:38,0.03754,1.05521
2024-01-14 19:59:39,0.04047,0.96646
2024-01-14 19:59:41,0.03632,0.91434
2024-01-14 19:59:42,0.02200,0.55697
2024-01-14 19:59:43,0.03541,0.78434
2024-01-14 19:59:44,0.03445,0.82670
2024-01-14 19:59:45,0.03030,0.79964
2024-01-14 19:59:46,0.02369,0.66713
