Date,CPU Utilization,CPU Power
2024-01-13 20:30:55,0.00173,0.05602
2024-01-13 20:30:56,0.00168,0.06432
2024-01-13 20:30:57,0.00181,0.06124
2024-01-13 20:30:58,0.00000,0.00000
2024-01-13 20:30:59,0.00090,0.02977
2024-01-13 20:31:00,0.00189,0.06241
2024-01-13 20:31:01,0.00171,0.04242
2024-01-13 20:31:03,0.00085,0.02629
2024-01-13 20:31:04,0.00084,0.02516
2024-01-13 20:31:05,0.00366,0.12214
2024-01-13 20:31:06,0.00171,0.06302
2024-01-13 20:31:07,0.00085,0.02893
2024-01-13 20:31:08,0.00168,0.06397
2024-01-13 20:31:09,0.00083,0.03271
2024-01-13 20:31:10,0.03114,1.05723
2024-01-13 20:31:11,0.09107,4.25432
2024-01-13 20:31:12,0.08368,4.19108
2024-01-13 20:31:13,0.03120,1.47298
2024-01-13 20:31:14,0.00169,0.07384
2024-01-13 20:31:15,0.00763,0.28595
2024-01-13 20:31:16,0.00085,0.03286
2024-01-13 20:31:17,0.00085,0.03847
2024-01-13 20:31:18,0.00168,0.05847
2024-01-13 20:31:19,0.00170,0.06998
2024-01-13 20:31:20,0.00426,0.17805
2024-01-13 20:31:21,0.00256,0.09590
2024-01-13 20:31:22,0.00259,0.09767
2024-01-13 20:31:23,0.00169,0.06879
2024-01-13 20:31:24,0.00182,0.06832
2024-01-13 20:31:25,0.02388,0.78957
2024-01-13 20:31:26,0.02745,0.78688
2024-01-13 20:31:27,0.01971,0.64654
2024-01-13 20:31:28,0.00258,0.10219
2024-01-13 20:31:29,0.00254,0.09991
2024-01-13 20:31:31,0.00085,0.03915
2024-01-13 20:31:32,0.00253,0.09792
2024-01-13 20:31:33,0.00171,0.06409
