Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-01-14 20:41:18,0.32173,46.35359,5.43359,40.92000
2024-01-14 20:41:19,0.39402,45.41344,4.77344,40.64000
2024-01-14 20:41:20,0.35142,45.30750,4.68750,40.62000
2024-01-14 20:41:22,0.38985,43.26750,4.68750,38.58000
2024-01-14 20:41:23,0.40963,43.36547,4.60547,38.76000
2024-01-14 20:41:24,0.26943,43.93984,5.08984,38.85000
2024-01-14 20:41:25,0.21698,44.68906,5.03906,39.65000
2024-01-14 20:41:26,0.23243,42.58484,4.96484,37.62000
2024-01-14 20:41:27,0.23636,42.07000,4.75000,37.32000
2024-01-14 20:41:28,0.21691,35.70266,4.72266,30.98000
2024-01-14 20:41:29,0.24819,34.75890,4.37891,30.38000
2024-01-14 20:41:30,0.18051,34.52500,4.12500,30.40000
2024-01-14 20:41:31,0.21057,34.71781,4.00781,30.71000
2024-01-14 20:41:32,0.21332,34.77625,4.40625,30.37000
2024-01-14 20:41:33,0.19547,34.40343,4.52344,29.88000
2024-01-14 20:41:34,0.19463,34.32734,4.27734,30.05000
2024-01-14 20:41:35,0.21536,34.28156,4.35156,29.93000
2024-01-14 20:41:36,0.20847,34.28141,4.19141,30.09000
2024-01-14 20:41:37,0.15625,34.64422,4.57422,30.07000
2024-01-14 20:41:38,0.20085,34.33625,4.40625,29.93000
2024-01-14 20:41:39,0.18805,34.38484,4.46484,29.92000
2024-01-14 20:41:40,0.25986,34.37688,4.29688,30.08000
2024-01-14 20:41:41,0.20687,35.38110,4.37109,31.01000
2024-01-14 20:41:42,0.28150,34.82750,4.43750,30.39000
2024-01-14 20:41:43,0.24301,34.98359,4.93359,30.05000
2024-01-14 20:41:44,0.19545,34.84312,4.45313,30.39000
2024-01-14 20:41:45,0.19203,35.09969,4.42969,30.67000
2024-01-14 20:41:46,0.17120,35.27734,4.77734,30.50000
2024-01-14 20:41:47,0.18351,34.25562,4.51563,29.74000
2024-01-14 20:41:48,0.20420,34.11531,4.19531,29.92000
