Date,CPU Utilization,CPU Power
2024-01-13 20:45:47,0.06602,1.59725
2024-01-13 20:45:48,0.03095,0.96943
2024-01-13 20:45:49,0.02265,0.67954
2024-01-13 20:45:50,0.00286,0.07759
2024-01-13 20:45:51,0.00257,0.09436
2024-01-13 20:45:52,0.00184,0.06273
2024-01-13 20:45:53,0.00085,0.03052
2024-01-13 20:45:54,0.00183,0.05966
2024-01-13 20:45:55,0.00091,0.02437
2024-01-13 20:45:56,0.00428,0.13031
2024-01-13 20:45:57,0.00096,0.02637
2024-01-13 20:45:58,0.00193,0.04475
2024-01-13 20:45:59,0.00171,0.04911
2024-01-13 20:46:00,0.00182,0.06444
2024-01-13 20:46:01,0.03114,1.15114
2024-01-13 20:46:02,0.03059,1.17128
2024-01-13 20:46:03,0.00172,0.05842
2024-01-13 20:46:04,0.00177,0.07280
2024-01-13 20:46:06,0.00172,0.07718
2024-01-13 20:46:07,0.00515,0.22046
2024-01-13 20:46:08,0.00086,0.03333
2024-01-13 20:46:09,0.00184,0.06688
2024-01-13 20:46:10,0.00085,0.03345
2024-01-13 20:46:11,0.00091,0.03741
2024-01-13 20:46:12,0.00620,0.22764
2024-01-13 20:46:13,0.00272,0.10230
2024-01-13 20:46:14,0.00176,0.06531
2024-01-13 20:46:15,0.00288,0.10359
2024-01-13 20:46:16,0.00088,0.03219
2024-01-13 20:46:17,0.02771,0.95031
2024-01-13 20:46:18,0.02651,0.76783
2024-01-13 20:46:19,0.03327,0.95680
2024-01-13 20:46:20,0.02982,0.86541
2024-01-13 20:46:21,0.02986,0.87966
2024-01-13 20:46:22,0.02313,0.73351
2024-01-13 20:46:23,0.01510,0.48226
2024-01-13 20:46:24,0.00500,0.16887
2024-01-13 20:46:25,0.00186,0.06929
2024-01-13 20:46:26,0.00171,0.07079
2024-01-13 20:46:27,0.00181,0.06426
