Date,CPU Utilization,CPU Power
2024-01-13 21:07:33,0.04597,1.47330
2024-01-13 21:07:34,0.00624,0.22540
2024-01-13 21:07:35,0.03486,1.05245
2024-01-13 21:07:36,0.00746,0.28688
2024-01-13 21:07:37,0.01451,0.59796
2024-01-13 21:07:38,0.04700,1.58077
2024-01-13 21:07:39,0.01300,0.44496
2024-01-13 21:07:40,0.01691,0.43156
2024-01-13 21:07:41,0.00413,0.10811
2024-01-13 21:07:42,0.02938,0.70052
2024-01-13 21:07:43,0.02629,0.86169
2024-01-13 21:07:44,0.07938,2.41238
2024-01-13 21:07:45,0.08529,2.48016
2024-01-13 21:07:46,0.06232,1.85198
2024-01-13 21:07:47,0.05819,1.77525
2024-01-13 21:07:48,0.06427,1.67272
2024-01-13 21:07:49,0.05952,1.64023
2024-01-13 21:07:50,0.08317,2.22573
2024-01-13 21:07:51,0.06311,1.75801
2024-01-13 21:07:52,0.05775,1.46873
2024-01-13 21:07:53,0.07341,1.64715
2024-01-13 21:07:54,0.06098,1.52167
2024-01-13 21:07:55,0.08178,1.96523
2024-01-13 21:07:57,0.09331,2.64076
2024-01-13 21:07:58,0.07664,2.15861
2024-01-13 21:07:59,0.07075,1.96436
2024-01-13 21:08:00,0.06737,1.82502
2024-01-13 21:08:01,0.08848,2.29303
2024-01-13 21:08:02,0.07427,2.36482
2024-01-13 21:08:03,0.04296,1.53875
2024-01-13 21:08:04,0.04642,1.43147
2024-01-13 21:08:05,0.00093,0.05292
2024-01-13 21:08:06,0.00095,0.05014
2024-01-13 21:08:07,0.00207,0.08756
2024-01-13 21:08:08,0.00190,0.09723
2024-01-13 21:08:09,0.00278,0.12365
2024-01-13 21:08:10,0.00475,0.21881
2024-01-13 21:08:11,0.00279,0.09391
