Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-01-20 21:53:48,0.03779,16.69721,2.38721,14.31000
2024-01-20 21:53:49,0.00913,14.21424,2.09424,12.12000
2024-01-20 21:53:50,0.01495,14.23645,2.11646,12.12000
2024-01-20 21:53:51,0.02273,14.52792,2.11792,12.41000
2024-01-20 21:53:52,0.00757,14.16981,2.05981,12.11000
2024-01-20 21:53:53,0.03601,14.61555,2.18555,12.43000
2024-01-20 21:53:54,0.01928,14.20302,2.09302,12.11000
2024-01-20 21:53:55,0.00504,13.82735,2.03735,11.79000
2024-01-20 21:53:56,0.00504,13.67004,2.04004,11.63000
2024-01-20 21:53:57,0.00838,14.14761,2.04761,12.10000
2024-01-20 21:53:58,0.00755,13.98809,2.03809,11.95000
2024-01-20 21:53:59,0.00672,14.46248,2.04248,12.42000
2024-01-20 21:54:00,0.00672,14.77296,2.03296,12.74000
2024-01-20 21:54:01,0.00931,14.15614,2.04614,12.11000
2024-01-20 21:54:02,0.01183,14.38890,2.11890,12.27000
2024-01-20 21:54:03,0.01263,14.35521,2.08521,12.27000
2024-01-20 21:54:04,0.00909,14.51399,2.09399,12.42000
2024-01-20 21:54:05,0.01060,13.66809,2.03809,11.63000
2024-01-20 21:54:07,0.00671,14.11196,2.01196,12.10000
2024-01-20 21:54:08,0.00504,16.31562,2.00562,14.31000
2024-01-20 21:54:09,0.00771,14.12489,2.01489,12.11000
2024-01-20 21:54:10,0.00671,14.10487,1.99487,12.11000
2024-01-20 21:54:11,0.00676,14.58513,2.00513,12.58000
2024-01-20 21:54:12,0.00729,14.00127,2.05127,11.95000
2024-01-20 21:54:13,0.00910,14.32371,2.05371,12.27000
2024-01-20 21:54:14,0.00640,14.16054,2.05054,12.11000
2024-01-20 21:54:15,0.01180,14.26686,2.02686,12.24000
2024-01-20 21:54:16,0.01426,14.05946,1.94946,12.11000
2024-01-20 21:54:17,0.00845,13.71334,1.92334,11.79000
2024-01-20 21:54:18,0.00274,13.76021,1.97021,11.79000
2024-01-20 21:54:19,0.00594,13.55651,1.92651,11.63000
2024-01-20 21:54:20,0.00939,13.95000,2.00000,11.95000
2024-01-20 21:54:21,0.00699,13.58214,1.94214,11.64000
2024-01-20 21:54:22,0.00777,14.08656,1.97656,12.11000
2024-01-20 21:54:23,0.02388,13.78853,1.98853,11.80000
2024-01-20 21:54:24,0.06375,39.85295,2.77295,37.08000
2024-01-20 21:54:25,0.15086,43.36826,4.71826,38.65000
2024-01-20 21:54:26,0.06610,41.15695,3.87695,37.28000
2024-01-20 21:54:27,0.03785,37.90306,3.63306,34.27000
2024-01-20 21:54:28,0.00850,38.13735,3.53735,34.60000
2024-01-20 21:54:29,0.01510,31.32145,3.48145,27.84000
2024-01-20 21:54:30,0.00921,30.85344,3.02344,27.83000
2024-01-20 21:54:31,0.00840,30.86296,3.03296,27.83000
2024-01-20 21:54:32,0.00756,18.35829,2.49829,15.86000
2024-01-20 21:54:33,0.00671,17.62424,2.09424,15.53000
2024-01-20 21:54:34,0.00672,18.10741,2.09741,16.01000
2024-01-20 21:54:35,0.01092,13.98734,2.02734,11.96000
2024-01-20 21:54:36,0.00925,14.64957,2.05957,12.59000
2024-01-20 21:54:37,0.01006,14.59195,2.00195,12.59000
2024-01-20 21:54:38,0.01089,16.30828,1.98828,14.32000
2024-01-20 21:54:39,0.00923,15.03290,1.97290,13.06000
2024-01-20 21:54:40,0.01088,14.11146,2.00146,12.11000
2024-01-20 21:54:41,0.00840,13.77095,1.97095,11.80000
2024-01-20 21:54:42,0.07938,41.24479,2.90479,38.34000
2024-01-20 21:54:43,0.05023,41.24265,3.96265,37.28000
2024-01-20 21:54:44,0.04537,41.30795,3.89795,37.41000
2024-01-20 21:54:45,0.07492,41.62812,4.06812,37.56000
